	[1, 1]	[1, 2]	[1, 3]	[1, 4]	[1, 5]	[1, 6]	[1, 7]	[1, 8]	[1, 9]	[1, 10]	[2, 1]	[2, 2]	[2, 3]	[2, 4]	[2, 5]	[2, 6]	[2, 7]	[2, 8]	[2, 9]	[2, 10]	[3, 1]	[3, 2]	[3, 3]	[3, 4]	[3, 5]	[3, 6]	[3, 7]	[3, 8]	[3, 9]	[3, 10]	[4, 1]	[4, 2]	[4, 3]	[4, 4]	[4, 5]	[4, 6]	[4, 7]	[4, 8]	[4, 9]	[4, 10]	[5, 1]	[5, 2]	[5, 3]	[5, 4]	[5, 5]	[5, 6]	[5, 7]	[5, 8]	[5, 9]	[5, 10]	[6, 1]	[6, 2]	[6, 3]	[6, 4]	[6, 5]	[6, 6]	[6, 7]	[6, 8]	[6, 9]	[6, 10]	[7, 1]	[7, 2]	[7, 3]	[7, 4]	[7, 5]	[7, 6]	[7, 7]	[7, 8]	[7, 9]	[7, 10]	[8, 1]	[8, 2]	[8, 3]	[8, 4]	[8, 5]	[8, 6]	[8, 7]	[8, 8]	[8, 9]	[8, 10]	[9, 1]	[9, 2]	[9, 3]	[9, 4]	[9, 5]	[9, 6]	[9, 7]	[9, 8]	[9, 9]	[9, 10]	[10, 1]	[10, 2]	[10, 3]	[10, 4]	[10, 5]	[10, 6]	[10, 7]	[10, 8]	[10, 9]	[10, 10]
Running: [6, 5]	64	44	32	1	24	64	18	16	32	12	44	28	64	42	0	20	52	62	16	95	32	64	108	16	12	36	32	30	54	124	1	42	16	44	266	48	20	16	120	40	24	0	12	266	60	44	32	120	0	0	64	20	36	48	44	12	164	12	8	24	18	52	32	20	32	164	4	28	6	0	16	62	30	16	120	12	28	36	32	95	32	16	54	120	0	8	6	32	16	32	12	95	124	40	0	24	0	95	32	20
Running: [6, 6]	24	152	164	20	64	12	0	2	32	64	152	80	138	88	20	132	16	76	20	144	164	138	16	52	36	120	48	280	164	4	20	88	52	0	48	522	56	176	24	32	64	20	36	48	44	12	164	12	8	24	12	132	120	522	12	168	0	60	126	12	0	16	48	56	164	0	0	0	36	12	2	76	280	176	12	60	0	32	28	36	32	20	164	24	8	126	36	28	0	36	64	144	4	32	24	12	12	36	36	0
Running: [6, 7]	0	44	58	16	18	0	0	0	4	140	44	24	24	47	52	16	0	20	152	8	58	24	52	0	32	48	24	156	40	16	16	47	0	0	20	56	394	36	16	26	18	52	32	20	32	164	4	28	6	0	0	16	48	56	164	0	0	0	36	12	0	0	24	394	4	0	0	0	0	16	0	20	156	36	28	0	0	0	8	30	4	152	40	16	6	36	0	8	52	0	140	8	16	26	0	12	16	30	0	4
Running: [6, 8]	16	166	52	48	16	2	0	32	152	189	166	116	26	148	62	76	20	128	94	56	52	26	36	38	30	280	156	48	30	16	48	148	38	40	16	176	36	312	36	12	16	62	30	16	120	12	28	36	32	95	2	76	280	176	12	60	0	32	28	36	0	20	156	36	28	0	0	0	8	30	32	128	48	312	36	32	0	36	24	52	152	94	30	36	32	28	8	24	32	6	189	56	16	12	95	36	30	52	6	0
Running: [6, 9]	8	72	24	8	32	32	4	152	188	90	72	16	80	45	16	20	152	94	24	6	24	80	136	20	54	164	40	30	44	34	8	45	20	94	120	24	16	36	276	44	32	16	54	120	0	8	6	32	16	32	32	20	164	24	8	126	36	28	0	36	4	152	40	16	6	36	0	8	52	0	152	94	30	36	32	28	8	24	32	6	188	24	44	276	16	0	52	32	0	32	90	6	34	44	32	36	0	6	32	0
Running: [6, 10]	0	20	32	2	12	64	140	189	90	0	20	96	56	76	95	144	8	56	6	122	32	56	24	54	124	4	16	16	34	12	2	76	54	132	40	32	26	12	44	290	12	95	124	40	0	24	0	95	32	20	64	144	4	32	24	12	12	36	36	0	140	8	16	26	0	12	16	30	0	4	189	56	16	12	95	36	30	52	6	0	90	6	34	44	32	36	0	6	32	0	0	122	12	290	20	0	4	0	0	90
Running: [7, 1]	0	16	128	68	16	0	0	0	0	8	16	16	48	40	70	44	2	40	40	64	128	48	128	34	8	58	8	9	16	22	68	40	34	88	18	16	8	48	4	0	16	70	8	18	0	18	0	20	4	12	0	44	58	16	18	0	0	0	4	140	0	2	8	8	0	0	0	0	120	188	0	40	9	48	20	0	0	120	196	122	0	40	16	4	4	4	120	196	90	4	8	64	22	0	12	140	188	122	4	0
Running: [7, 2]	16	16	48	40	70	44	2	40	40	64	16	24	56	48	16	24	32	60	0	8	48	56	64	28	46	24	48	36	26	20	40	48	28	36	20	47	4	14	40	38	70	16	46	20	24	52	24	4	8	140	44	24	24	47	52	16	0	20	152	8	2	32	48	4	24	0	0	128	0	8	40	60	36	14	4	20	128	40	4	0	40	0	26	40	8	152	0	4	0	110	64	8	20	38	140	8	8	0	110	16
Running: [7, 3]	128	48	128	34	8	58	8	9	16	22	48	56	64	28	46	24	48	36	26	20	128	64	36	36	8	52	16	24	48	0	34	28	36	40	78	0	80	6	34	140	8	46	8	78	16	32	0	30	130	26	58	24	52	0	32	48	24	156	40	16	8	48	16	80	0	24	144	274	4	44	9	36	24	6	30	156	274	52	16	0	16	26	48	34	130	40	4	16	24	34	22	20	0	140	26	16	44	0	34	98
Running: [7, 4]	68	40	34	88	18	16	8	48	4	0	40	48	28	36	20	47	4	14	40	38	34	28	36	40	78	0	80	6	34	140	88	36	40	24	32	0	8	36	152	4	18	20	78	32	4	20	24	156	32	6	16	47	0	0	20	56	394	36	16	26	8	4	80	8	24	394	12	20	0	0	48	14	6	36	156	36	20	44	28	16	4	40	34	152	32	16	0	28	4	30	0	38	140	4	6	26	0	16	30	4
Running: [7, 5]	16	70	8	18	0	18	0	20	4	12	70	16	46	20	24	52	24	4	8	140	8	46	8	78	16	32	0	30	130	26	18	20	78	32	4	20	24	156	32	6	0	24	16	4	0	32	144	32	0	32	18	52	32	20	32	164	4	28	6	0	0	24	0	24	144	4	0	0	8	12	20	4	30	156	32	28	0	44	24	4	4	8	130	32	0	6	8	24	0	6	12	140	26	6	32	0	12	4	6	32
Running: [7, 6]	0	44	58	16	18	0	0	0	4	140	44	24	24	47	52	16	0	20	152	8	58	24	52	0	32	48	24	156	40	16	16	47	0	0	20	56	394	36	16	26	18	52	32	20	32	164	4	28	6	0	0	16	48	56	164	0	0	0	36	12	0	0	24	394	4	0	0	0	0	16	0	20	156	36	28	0	0	0	8	30	4	152	40	16	6	36	0	8	52	0	140	8	16	26	0	12	16	30	0	4
Running: [7, 7]	0	2	8	8	0	0	0	0	120	188	2	32	48	4	24	0	0	128	0	8	8	48	16	80	0	24	144	274	4	44	8	4	80	8	24	394	12	20	0	0	0	24	0	24	144	4	0	0	8	12	0	0	24	394	4	0	0	0	0	16	0	0	144	12	0	0	0	0	0	0	0	128	274	20	0	0	0	0	0	0	120	0	4	0	8	0	0	0	0	12	188	8	44	0	12	16	0	0	12	0
Running: [7, 8]	0	40	9	48	20	0	0	120	196	122	40	60	36	14	4	20	128	40	4	0	9	36	24	6	30	156	274	52	16	0	48	14	6	36	156	36	20	44	28	16	20	4	30	156	32	28	0	44	24	4	0	20	156	36	28	0	0	0	8	30	0	128	274	20	0	0	0	0	0	0	120	40	52	44	44	0	0	0	12	8	196	4	16	28	24	8	0	12	0	8	122	0	0	16	4	30	0	8	8	12
Running: [7, 9]	0	40	16	4	4	4	120	196	90	4	40	0	26	40	8	152	0	4	0	110	16	26	48	34	130	40	4	16	24	34	4	40	34	152	32	16	0	28	4	30	4	8	130	32	0	6	8	24	0	6	4	152	40	16	6	36	0	8	52	0	120	0	4	0	8	0	0	0	0	12	196	4	16	28	24	8	0	12	0	8	90	0	24	4	0	52	0	0	0	0	4	110	34	30	6	0	12	8	0	0
Running: [7, 10]	8	64	22	0	12	140	188	122	4	0	64	8	20	38	140	8	8	0	110	16	22	20	0	140	26	16	44	0	34	98	0	38	140	4	6	26	0	16	30	4	12	140	26	6	32	0	12	4	6	32	140	8	16	26	0	12	16	30	0	4	188	8	44	0	12	16	0	0	12	0	122	0	0	16	4	30	0	8	8	12	4	110	34	30	6	0	12	8	0	0	0	16	98	4	32	4	0	12	0	0
Running: [8, 1]	24	120	456	76	8	16	0	16	0	0	120	20	48	116	68	166	40	132	38	6	456	48	20	28	42	52	9	52	151	8	76	116	28	68	10	48	48	88	26	0	8	68	42	10	0	16	20	68	13	124	16	166	52	48	16	2	0	32	152	189	0	40	9	48	20	0	0	120	196	122	16	132	52	88	68	32	120	180	90	32	0	38	151	26	13	152	196	90	0	0	0	6	8	0	124	189	122	32	0	0
Running: [8, 2]	120	20	48	116	68	166	40	132	38	6	20	168	292	116	8	116	60	80	32	64	48	292	72	32	32	26	36	40	12	40	116	116	32	144	58	148	14	92	8	196	68	8	32	58	8	62	4	16	148	12	166	116	26	148	62	76	20	128	94	56	40	60	36	14	4	20	128	40	4	0	132	80	40	92	16	128	40	60	32	94	38	32	12	8	148	94	4	32	98	20	6	64	40	196	12	56	0	94	20	44
Running: [8, 3]	456	48	20	28	42	52	9	52	151	8	48	292	72	32	32	26	36	40	12	40	20	72	510	48	0	36	24	0	28	120	28	32	48	340	68	38	6	0	144	38	42	32	0	68	274	30	30	132	18	0	52	26	36	38	30	280	156	48	30	16	9	36	24	6	30	156	274	52	16	0	52	40	0	0	132	48	52	522	44	4	151	12	28	144	18	30	16	44	276	114	8	40	120	38	0	16	0	4	114	266
Running: [8, 4]	76	116	28	68	10	48	48	88	26	0	116	116	32	144	58	148	14	92	8	196	28	32	48	340	68	38	6	0	144	38	68	144	340	72	68	40	36	216	16	72	10	58	68	68	4	16	156	12	22	24	48	148	38	40	16	176	36	312	36	12	48	14	6	36	156	36	20	44	28	16	88	92	0	216	12	312	44	72	32	36	26	8	144	16	22	36	28	32	4	16	0	196	38	72	24	12	16	36	16	106
Running: [8, 5]	8	68	42	10	0	16	20	68	13	124	68	8	32	58	8	62	4	16	148	12	42	32	0	68	274	30	30	132	18	0	10	58	68	68	4	16	156	12	22	24	0	8	274	4	0	120	32	4	28	36	16	62	30	16	120	12	28	36	32	95	20	4	30	156	32	28	0	44	24	4	68	16	132	12	4	36	44	36	20	64	13	148	18	22	28	32	24	20	0	0	124	12	0	24	36	95	4	64	0	0
